#;Brand;Comments;Updates;"Created on";"Last modified"
1;AFS;;"@fxsuireperso: changed field 'Brand' from 'First item' to 'AFS'";;"2019-08-28 16:36:02"
2;MOSES;;"@fxsuireperso: changed field 'Brand' from '' to 'MOSES'";2019-08-28;"2019-08-28 16:36:29"
3;GONG;;"@fxsuireperso: changed field 'Brand' from '' to 'GONG'";2019-08-28;"2019-08-28 16:36:47"
4;ALPINEFOIL;;"@fxsuireperso: changed field 'Brand' from '' to 'ALPINEFOIL'";2019-08-28;"2019-08-28 16:37:16"
5;NAISH;;"@fxsuireperso: changed field 'Brand' from '' to 'NAISH'";2019-08-28;"2019-08-28 18:09:10"
6;LOKEFOIL;;"@fxsuireperso: changed field 'Brand' from '' to 'LOKEFOIL'";2019-08-28;"2019-08-28 18:09:32"
7;GOFOIL;;"@fxsuireperso: changed field 'Brand' from '' to 'GOFOIL'";2019-08-28;"2019-08-28 18:09:38"
8;SLINGSHOT;;"@fxsuireperso: changed field 'Brand' from '' to 'SLINGSHOT'";2019-08-28;"2019-08-28 19:29:59"
9;PHANTOM;;"@fxsuireperso: changed field 'Brand' from '' to 'PHANTOM'";2019-08-30;"2019-08-30 10:51:26"
10;LOKEFOIL;;"@fxsuireperso: changed field 'Brand' from '' to 'LOKEFOIL'";2019-08-30;"2019-08-30 10:53:02"
11;SELECT;;"@fxsuireperso: changed field 'Brand' from '' to 'SELECT'";2019-08-30;"2019-08-30 10:53:08"
