Product_Produit;Object-ID;Brand_Marque;Component-Type_Type-Composant;Model_Modele;Material_Materiau;Front-Wing-Surface_Surface-Aile-Avant_Cm2;Span-Length_Envergure-Longueur_Mm;Length_Longueur_Mm;High_Hauteur_Mm;Root-Chord_Empattement_Mm;Aspect-Ratio;Weight_Poids_g;Floatability_Flottabilite_L;Intended-Uses_Usages;Fuselage-Compatibility_Compatibilite-Fuselage;Box_Boitier;Mast-Compatibility_Compatibilite-Mat;Product-Picture_Photo-Produit;by;status;Comments;"Created on";Updates;"Last modified";"Foil-Database(Lien vers une autre table)";Foil-Database(Mast-Compatibility_Compatibilite-Mat)
"AFS-AFS Surf-Foil-Complet";14;AFS;Foil-Complet;"AFS Surf";"Carbon - Carbone";1295;800;724;730;;;;;"Sup - surf";;Tuttle;;;fxsuireperso;;;2019-08-28;"@fxsuireperso: changed field 'Box_Boitier' from '' to 'Tuttle'";"2019-08-28 19:49:40";;
"AFS-F800-Front Wing - Aile avant";17;AFS;"Front Wing - Aile avant";F800;"Carbon - Carbone";1120;800;;;;;;;Windsurfing;;;;;fxsuireperso;;;2019-08-28;"@fxsuireperso: changed field 'Surface' from '' to '1120'";"2019-08-29 16:10:29";;
"AFS-R1000-Front Wing - Aile avant";13;AFS;"Front Wing - Aile avant";R1000;"Carbon - Carbone";800;1000;;;;;;;Windsurfing;;;;;fxsuireperso;;;2019-08-28;"@fxsuireperso: changed field 'Surface' from '' to '800'";"2019-08-29 16:10:30";;
"AFS-F700-Front Wing - Aile avant";15;AFS;"Front Wing - Aile avant";F700;"Carbon - Carbone";779;700;;;;;;;Windsurfing;;;;;fxsuireperso;;;2019-08-28;"@fxsuireperso: changed field 'Surface' from '' to '779'";"2019-08-29 16:10:31";;
"AFS-F700A-Front Wing - Aile avant";20;AFS;"Front Wing - Aile avant";F700A;"Carbon - Carbone";779;700;;;;;;;Windsurfing;;;;;fxsuireperso;;;2019-08-28;"@fxsuireperso: changed field 'Surface' from '' to '779'";"2019-08-29 16:10:32";;
"AFS-R800-Front Wing - Aile avant";19;AFS;"Front Wing - Aile avant";R800;"Carbon - Carbone";752;800;;;;;;;Windsurfing;;;;;fxsuireperso;;;2019-08-28;"@fxsuireperso: changed field 'Surface' from '' to '752'";"2019-08-29 16:10:34";;
"AFS-R750-Front Wing - Aile avant";18;AFS;"Front Wing - Aile avant";R750;"Carbon - Carbone";736;750;;;;;;;Windsurfing;;;;;fxsuireperso;;;2019-08-28;"@fxsuireperso: changed field 'Surface' from '' to '736'";"2019-08-29 16:10:34";;
"AFS-F700S-Front Wing - Aile avant";16;AFS;"Front Wing - Aile avant";F700S;"Carbon - Carbone";655;700;;;;;;;Windsurfing;;;;;fxsuireperso;;;2019-08-28;"@fxsuireperso: changed field 'Surface' from '' to '655'";"2019-08-29 16:10:35";;
"GONG-GONG FOIL ALLVATOR SURF/SUP FRONT WING PRO XXL-Front Wing - Aile avant";24;GONG;"Front Wing - Aile avant";"GONG FOIL ALLVATOR SURF/SUP FRONT WING PRO XXL";"Mix - mélange";2609;1200;;;;;3,4;4,2;"Sup - surf";;;;;fxsuireperso;;;2019-08-29;"@fxsuireperso: changed field 'Floatability_Flottabilite_L' from '' to '4.2'";"2019-08-29 16:10:19";;
"GONG-GONG FOIL ALLVATOR SURF/SUP FRONT WING XXL-Front Wing - Aile avant";25;GONG;"Front Wing - Aile avant";"GONG FOIL ALLVATOR SURF/SUP FRONT WING XXL";"Mix - mélange";2175;1000;;;;;2700;4,26;"Sup - surf";;;;;fxsuireperso;;;2019-08-29;"@fxsuireperso: changed field 'Floatability_Flottabilite_L' from '' to '4.26'";"2019-08-29 16:33:13";;
